"","elife_institution","THE_rank"
"63","Universite de Sherbrooke","Standard/Unranked/Unknown"
"64","Howard Hughes Medical Institute, Columbia University","Top"
"65","University of Rochester","Proficient"
"66","University of Montreal","Proficient"
"67","California Institute of Technology","Top"
"68","University of Victoria","Standard/Unranked/Unknown"
"69","University of Western Ontario","Proficient"
"70","Western University","Proficient"
"71","York University","Standard/Unranked/Unknown"
"72","Huazhong Agricultural University","Standard/Unranked/Unknown"
"73","Tongji University","Standard/Unranked/Unknown"
"74","Nanjing Medical University","Standard/Unranked/Unknown"
"75","Peking University","Top"
"76","Southern Medical University","Standard/Unranked/Unknown"
"77","University of Science and Technology of China","Proficient"
"78","Zhejiang University","Proficient"
"79","Tsinghua University","Top"
"80","University of Chicago","Top"
"81","East China Normal University","Standard/Unranked/Unknown"
"82","Fudan University","Proficient"
"83","Capital Medical University","Standard/Unranked/Unknown"
"84","The University of Hong Kong","Top"
"85","Soochow University","Standard/Unranked/Unknown"
"86","Harvard Medical School","Top"
"87","Shanghai Jiao Tong University","Proficient"
"88","Wuhan University","Standard/Unranked/Unknown"
"89","China Agricultural University","Standard/Unranked/Unknown"
"90","China Pharmaceutical University","Standard/Unranked/Unknown"
"91","Southeast University","Standard/Unranked/Unknown"
"92","University of Hawaii at Manoa","Standard/Unranked/Unknown"
"93","University of California, Davis","Proficient"
"94","Guangxi University","Standard/Unranked/Unknown"
"95","Huazhong University of Science and Technology","Standard/Unranked/Unknown"
"96","Jilin University","Standard/Unranked/Unknown"
"97","Nanjing University","Proficient"
"98","Peking university","Top"
"99","Harvard University","Top"
"100","Shanghai Jiao Tong University School of Medicine","Proficient"
"101","Johns Hopkins School of Medicine","Top"
"102","University of California, Los Angeles","Top"
"103","zhejiang university","Proficient"
"104","University of Split","Standard/Unranked/Unknown"
"105","Technical University of Denmark","Proficient"
"106","University of Copenhagen","Proficient"
"107","University of Southern Denmark","Standard/Unranked/Unknown"
"108","Aarhus University","Proficient"
"109","Max Planck Institute for Evolutionary Biology","Top"
"110","University of Helsinki","Proficient"
"111","Auburn University","Standard/Unranked/Unknown"
"112","University of Turku","Standard/Unranked/Unknown"
"113","University of Eastern Finland","Standard/Unranked/Unknown"
"114","Aalto University","Proficient"
"115","University of Würzburg","Proficient"
"116","Massachusetts Institute of Technology","Top"
"117","City, University of London","Standard/Unranked/Unknown"
"118","Queen's University of Belfast","Standard/Unranked/Unknown"
"119","Ben-Gurion University of the Negev","Standard/Unranked/Unknown"
"120","University of Minnesota","Top"
"121","Columbia University","Top"
"122","Princeton University","Top"
"123","Rockefeller University","Top"
"124","University of Cambridge","Top"
"125","University of Virginia","Proficient"
"126","Aix Marseille University","Standard/Unranked/Unknown"
"127","University of Pittsburgh","Proficient"
"128","University of Warwick","Proficient"
"129","Goethe-University Frankfurt","Standard/Unranked/Unknown"
"130","Max Planck Institute for Molecular Biomedicine","Top"
"131","Max Planck Institute of Molecular Plant Physiology","Top"
"132","Imperial College London","Top"
"133","Max Planck Institute for Chemical Ecology","Top"
"134","University of Cologne","Proficient"
"135","Max Planck Institute of Molecular Cell Biology","Top"
"136","University of Bonn","Proficient"
"137","University of Duisburg-Essen","Proficient"
"138","Goethe University Frankfurt","Standard/Unranked/Unknown"
"139","University of Marburg","Standard/Unranked/Unknown"
"140","Max-Planck-Institute for Heart and Lung Research","Top"
"141","TU Dresden","Proficient"
"142","University of California, Berkeley","Top"
"143","Humboldt University of Berlin","Proficient"
"144","Karlsruhe Institute of Technology","Proficient"
"145","LMU Munich","Top"
"146","Max Planck Institute","Top"
"147","Max Planck Institute of Molecular Cell Biology and Genetics","Top"
"148","Max Planck Institute of Molecular Physiology","Top"
"149","Max-Planck Institute for Chemical Ecology","Top"
"150","University of Freiburg","Proficient"
"151","University of Kaiserslautern","Standard/Unranked/Unknown"
"152","University of Potsdam","Standard/Unranked/Unknown"
"153","Max Planck Institute for Developmental Biology","Top"
"154","Max Planck Institute for Molecular Cell Biology and Genetics","Top"
"155","Max Planck Institute for Heart and Lung Research","Top"
"156","Howard Hughes Medical Institute, Yale University School of Medicine","Top"
"157","Ruhr University Bochum","Standard/Unranked/Unknown"
"158","Technical University Munich","Top"
"159","Technical University of Munich","Top"
"160","Heidelberg University","Top"
"161","Max-Planck Institute of Molecular Plant Physiology, Am Mühlenberg 1, 14476 Potsdam, Germany","Top"
"162","University of Kiel","Standard/Unranked/Unknown"
"163","Max Planck Institute for Molecular Genetics","Top"
"164","Max-Planck-Institute of Molecular Cell Biology and Genetics","Top"
"165","UC Berkeley","Top"
"166","University of Birmingham","Proficient"
"167","University of Texas Southwestern Medical Center","Top"
"168","University of Dundee","Standard/Unranked/Unknown"
"169","Tel Aviv University","Standard/Unranked/Unknown"
"170","Johannes Gutenberg University of Mainz","Standard/Unranked/Unknown"
"171","Max Planck Institute for Evolutionary Anthropology","Top"
"172","Max-Planck Institute for Evolutionary Biology","Top"
"173","Otto von Guericke University","Standard/Unranked/Unknown"
"174","Otto-von-Guericke University Magdeburg","Standard/Unranked/Unknown"
"175","Ruhr-University Bochum","Standard/Unranked/Unknown"
"176","Max-Planck-Institute for Developmental Biology","Top"
"177","Univ. Tübingen","Proficient"
"178","University of Erlangen-Nuremberg","Proficient"
"179","Queen Mary University of London","Proficient"
"180","University of Hamburg","Proficient"
"181","Max Planck Institute for Evolutionary Anthropolgy","Top"
"182","Baylor College of Medicine","Top"
"183","Okayama University","Standard/Unranked/Unknown"
"184","National and Kapodistrian University of Athens","Standard/Unranked/Unknown"
"185","University of Patras","Standard/Unranked/Unknown"
"186","Hong Kong University of Science and Technology","Top"
"187","The Chinese University of Hong Kong","Proficient"
"188","The Hong Kong University of Science and Technology","Top"
"189","University of Hong Kong","Top"
"190","University of Szeged","Standard/Unranked/Unknown"
"191","Semmelweis University","Standard/Unranked/Unknown"
"192","University of Iceland","Standard/Unranked/Unknown"
"193","Indian Institute of Technology Madras","Standard/Unranked/Unknown"
"194","National Centre for Biological Sciences, Tata Institute of Fundamental Research","Standard/Unranked/Unknown"
"195","Jadavpur University","Standard/Unranked/Unknown"
"196","Indian Institute of Science","Standard/Unranked/Unknown"
"197","Indian Institute of Science Education and Research (IISER-TVM)","Standard/Unranked/Unknown"
"198","Indian Institute of Science Education and  Research (IISER), Pune","Standard/Unranked/Unknown"
"199","National Centre for Biological Sciences","Standard/Unranked/Unknown"
"200","Indian Institute of Science Education and Research","Standard/Unranked/Unknown"
"201","Indian Institute of Science Education and Research Mohali","Standard/Unranked/Unknown"
"202","Indian Institute of Technology Kanpur","Standard/Unranked/Unknown"
"203","KIIT University","Standard/Unranked/Unknown"
"204","University College Cork","Standard/Unranked/Unknown"
"205","Trinity College Dublin","Proficient"
"206","National University of Ireland, Galway","Standard/Unranked/Unknown"
"207","Technion - Israel Institute of Technology","Standard/Unranked/Unknown"
"208","University of Haifa","Standard/Unranked/Unknown"
"209","Weizmann Institute of Science","Proficient"
"210","The Weizmann Institute of Science","Proficient"
"211","Bar-Ilan University","Standard/Unranked/Unknown"
"212","Technion- Israel Institute of Technology","Standard/Unranked/Unknown"
"213","Bar Ilan University","Standard/Unranked/Unknown"
"214","Hebrew University of Jerusalem","Standard/Unranked/Unknown"
"215","The Hebrew University of Jerusalem","Standard/Unranked/Unknown"
"216","Tel-Aviv University","Standard/Unranked/Unknown"
"217","The Weizmann Institute for Science","Proficient"
"218","Weizmann institute of science","Proficient"
"219","University of Turin","Standard/Unranked/Unknown"
"220","University of Pisa","Standard/Unranked/Unknown"
"221","National University of Singapore","Top"
"222","University of Florence","Standard/Unranked/Unknown"
"223","Sapienza University of Rome","Standard/Unranked/Unknown"
"224","Oita University","Standard/Unranked/Unknown"
"225","Scuola Superiore Sant'Anna","Proficient"
"226","University of Modena and Reggio Emilia","Standard/Unranked/Unknown"
"227","University of Palermo","Standard/Unranked/Unknown"
"228","University of Pavia","Standard/Unranked/Unknown"
"229","University of Trento","Standard/Unranked/Unknown"
"230","Kyoto University","Proficient"
"231","Nagoya University","Standard/Unranked/Unknown"
"232","Tokyo University of Agriculture","Standard/Unranked/Unknown"
"233","University of Tsukuba","Standard/Unranked/Unknown"
"234","Hokkaido University","Standard/Unranked/Unknown"
"235","Tokyo Medical and Dental University","Standard/Unranked/Unknown"
"236","Doshisha University","Standard/Unranked/Unknown"
"237","Osaka City University","Standard/Unranked/Unknown"
"238","Tokyo Institute of Technology","Standard/Unranked/Unknown"
"239","Osaka University","Standard/Unranked/Unknown"
"240","Stockholm University","Proficient"
"241","Ehime University","Standard/Unranked/Unknown"
"242","Tohoku University","Standard/Unranked/Unknown"
"243","University of Hyogo","Standard/Unranked/Unknown"
"244","Hiroshima University","Standard/Unranked/Unknown"
"245","Kitasato University","Standard/Unranked/Unknown"
"246","University of Geneva","Proficient"
"247","Institute of Industrial Science, The University of Tokyo","Top"
"248","Kumamoto University","Standard/Unranked/Unknown"
"249","Kyushu University","Standard/Unranked/Unknown"
"250","New York University","Top"
"251","Keio University","Standard/Unranked/Unknown"
"252","University of Tokyo","Top"
"253","Tokyo University of Science","Standard/Unranked/Unknown"
"254","University of Fukui","Standard/Unranked/Unknown"
"255","Waseda university","Standard/Unranked/Unknown"
"256","Waseda University","Standard/Unranked/Unknown"
"257","Yokohama City University","Standard/Unranked/Unknown"
"258","Korea Advanced Institute of Science and Technology","Proficient"
"259","Sungkyunkwan University","Proficient"
"260","University of Luxembourg","Standard/Unranked/Unknown"
"261","University of Amsterdam","Proficient"
"262","Academic Medical Center of the University of Amsterdam","Proficient"
"263","Vrije Universiteit Amsterdam","Proficient"
"264","Leiden University","Proficient"
"265","Radboud University Nijmegen","Proficient"
"266","Delft University of Technology","Proficient"
"267","Durham University","Proficient"
"268","University of Reading","Standard/Unranked/Unknown"
"269","Memorial Sloan Kettering Cancer Center","Top"
"270","Maastricht University","Proficient"
"271","Utrecht University","Proficient"
"272","University of Milan","Standard/Unranked/Unknown"
"273","The University of Auckland","Standard/Unranked/Unknown"
"274","University of Auckland","Standard/Unranked/Unknown"
"275","University of Canterbury","Standard/Unranked/Unknown"
"276","Uppsala University","Proficient"
"277","University of Otago","Standard/Unranked/Unknown"
"278","Norwegian University of Life Sciences","Standard/Unranked/Unknown"
"279","University of Oslo","Proficient"
"280","University of Bergen","Proficient"
"281","Norwegian University for Science and Technology","Standard/Unranked/Unknown"
"282","Jagiellonian University","Standard/Unranked/Unknown"
"283","University of Gdansk","Standard/Unranked/Unknown"
"284","University of Manchester","Proficient"
"285","University of Algarve","Standard/Unranked/Unknown"
"286","University of Coimbra","Standard/Unranked/Unknown"
"287","University of Minho","Standard/Unranked/Unknown"
"288","Sogang University","Standard/Unranked/Unknown"
"289","Seoul National University","Proficient"
"290","Kyung Hee University","Standard/Unranked/Unknown"
"291","Chungnam National University","Standard/Unranked/Unknown"
"292","Ewha Womans University","Standard/Unranked/Unknown"
"293","Korea Advanced Institute of Science and Technology (KAIST)","Proficient"
"294","Kyungpook National University","Standard/Unranked/Unknown"
"295","University of Basel","Proficient"
"296","ETH Zurich","Top"
"297","The Barcelona Institute of Science and Technology","Standard/Unranked/Unknown"
"298","University of Barcelona","Standard/Unranked/Unknown"
"299","University of Seville","Standard/Unranked/Unknown"
"300","University of Santiago de Compostela","Standard/Unranked/Unknown"
"301","University of Valencia","Standard/Unranked/Unknown"
"302","Lund University","Proficient"
"303","Swedish University of Agricultural Sciences","Standard/Unranked/Unknown"
"304","University of Gothenburg","Standard/Unranked/Unknown"
"305","Karolinska Institute","Top"
"306","KTH Royal Institute of Technology","Proficient"
"307","Linkoping University","Standard/Unranked/Unknown"
"308","University of Bern","Proficient"
"309","University of Zurich","Proficient"
"310","University of Fribourg","Standard/Unranked/Unknown"
"311","Stanford University","Top"
"312","ETH Zürich","Top"
"313","University of Zürich","Proficient"
"314","National Yang-Ming University","Standard/Unranked/Unknown"
"315","National Central University","Standard/Unranked/Unknown"
"316","Mahidol University","Standard/Unranked/Unknown"
"317","Middle East Technical University","Standard/Unranked/Unknown"
"318","University of Bristol","Proficient"
"319","University of Edinburgh","Top"
"320","University of York","Proficient"
"321","The University of Edinburgh","Top"
"322","Kings College London","Top"
"323","The University of Manchester","Proficient"
"324","University of Essex","Standard/Unranked/Unknown"
"325","University of St Andrews","Proficient"
"326","University of Leeds","Proficient"
"327","University of Aberdeen","Proficient"
"328","King's College London","Top"
"329","Brunel University London","Standard/Unranked/Unknown"
"330","University of Glasgow","Proficient"
"331","Cardiff University","Proficient"
"332","University of Liverpool","Proficient"
"333","University of Nottingham","Proficient"
"334","Newcastle University","Proficient"
"335","University of Sussex","Proficient"
"336","University of Exeter","Proficient"
"337","University of Leicester","Proficient"
"338","Washington State University","Standard/Unranked/Unknown"
"339","Pennsylvania State University","Proficient"
"340","University of Kent","Standard/Unranked/Unknown"
"341","University of Sheffield","Proficient"
"342","Icahn School of Medicine at Mount Sinai","Proficient"
"343","Swansea University","Standard/Unranked/Unknown"
"344","The Royal Veterinary College","Standard/Unranked/Unknown"
"345","The University of Sheffield","Proficient"
"346","University College  London","Top"
"347","Purdue University","Proficient"
"348","UNIVERSITY COLLege London","Top"
"349","Macquarie University","Standard/Unranked/Unknown"
"350","Oregon Health and Science University","Standard/Unranked/Unknown"
"351","University of Southampton","Proficient"
"352","University of Stirling","Standard/Unranked/Unknown"
"353","University of Strathclyde","Standard/Unranked/Unknown"
"354","University of Surrey","Standard/Unranked/Unknown"
"355","The University of Cambridge","Top"
"356","Royal Holloway University of London","Standard/Unranked/Unknown"
"357","Univ. of Warwick","Proficient"
"358","Case Western Reserve University","Proficient"
"359","Texas A&M University","Proficient"
"360","Howard Hughes Medical Institute, Stanford University School of Medicine","Top"
"361","National Institutes of Health","Top"
"362","Stanford University Medical Center","Top"
"363","The Pennsylvania State University","Proficient"
"364","Emory University","Proficient"
"365","Cornell University","Top"
"366","Albert Einstein College of Medicine","Top"
"367","The University of North Carolina at Chapel Hill","Proficient"
"368","Georgetown University","Proficient"
"369","The Rockefeller University","Top"
"370","UT Southwestern Medical Center","Top"
"371","Brandeis University","Standard/Unranked/Unknown"
"372","University of Colorado School of Medicine","Proficient"
"373","Dartmouth College","Proficient"
"374","Duke University","Top"
"375","George Mason University","Standard/Unranked/Unknown"
"376","Howard Hughes Medical Institute, California Institute of Technology","Top"
"377","Howard Hughes Medical Institute, The Rockefeller University","Top"
"378","Howard Hughes Medical Institute, University of Texas Southwestern Medical Center","Top"
"379","Howard Hughes Medical Institute, University of Wisconsin-Madison","Top"
"380","Yale University","Top"
"381","Palacký University, Olomouc","Standard/Unranked/Unknown"
"382","New Jersey Institute of Technology","Standard/Unranked/Unknown"
"383","Rensselaer Polytechnic Institute","Standard/Unranked/Unknown"
"384","Boston University","Proficient"
"385","State University of New York Downstate Medical Center","Standard/Unranked/Unknown"
"386","Stony Brook University","Standard/Unranked/Unknown"
"387","The Ohio State University","Proficient"
"388","Iowa State University","Standard/Unranked/Unknown"
"389","The University of Texas at Austin","Top"
"390","University of Alabama at Birmingham","Proficient"
"391","University of California, Irvine","Proficient"
"392","University of California, San Diego","Top"
"393","University of Michigan","Top"
"394","University of Montana","Standard/Unranked/Unknown"
"395","University of North Carolina at Chapel Hill","Proficient"
"396","University of Southern California","Proficient"
"397","University of Texas at Austin","Top"
"398","Vanderbilt University","Proficient"
"399","Washington University School of Medicine","Top"
"400","Kansas State University","Standard/Unranked/Unknown"
"401","Rice University","Proficient"
"402","Rutgers, The State University of New Jersey","Proficient"
"403","University of California, Riverside","Standard/Unranked/Unknown"
"404","University of Cincinnati","Standard/Unranked/Unknown"
"405","University of Texas Southwestern Medical School","Top"
"406","University of Washington","Top"
"407","University of Utah","Standard/Unranked/Unknown"
"408","Duke University Medical Center","Top"
"409","The University of Chicago","Top"
"410","Howard Hughes Medical Institute, Memorial Sloan Kettering Cancer Center","Top"
"411","Howard Hughes Medical Institute, University of California, Berkeley","Top"
"412","Johns Hopkins University","Top"
"413","University of Colorado Boulder","Proficient"
"414","University of California Berkeley","Top"
"415","Arizona State University","Proficient"
"416","Carnegie Mellon University","Top"
"417","Florida State University","Standard/Unranked/Unknown"
"418","Harvard School of Public Health","Top"
"419","Howard Hughes Medical Institute, Harvard Medical School","Top"
"420","Howard Hughes Medical Institute, University of Colorado, Boulder","Proficient"
"421","Michigan State University","Proficient"
"422","Northwestern University","Top"
"423","University of California, Santa Barbara","Proficient"
"424","The University of Texas at El Paso","Standard/Unranked/Unknown"
"425","University of California Davis","Proficient"
"426","University of California, Santa Cruz","Proficient"
"427","University of Florida","Proficient"
"428","University of Houston","Standard/Unranked/Unknown"
"429","University of Illinois at Urbana-Champaign","Proficient"
"430","University of Texas at San Antonio","Standard/Unranked/Unknown"
"431","University of Utah School of Medicine","Standard/Unranked/Unknown"
"432","University of Wisconsin - Madison","Top"
"433","Brown University","Proficient"
"434","Howard Hughes Medical Institute, Baylor College of Medicine","Top"
"435","Howard Hughes Medical Institute, University of Pennsylvania","Top"
"436","Howard Hughes Medical Institute, Stanford University","Top"
"437","University of Iowa","Standard/Unranked/Unknown"
"438","NIH","Top"
"439","University of California Los Angeles","Top"
"440","The University of Texas Southwestern Medical Center","Top"
"441","Washington University in St Louis","Proficient"
"442","Yale University School of Medicine","Top"
"443","UC San Diego","Top"
"444","Memorial Sloan-Kettering Cancer Center","Top"
"445","SAINT LOUIS UNIVERSITY","Standard/Unranked/Unknown"
"446","University of Georgia","Standard/Unranked/Unknown"
"447","Georgia Institute of Technology","Top"
"448","Howard Hughes Medical Institute, UT Southwestern Medical Center","Top"
"449","uc davis","Proficient"
"450","Columbia University in the City of New York","Top"
"451","Georgia State University","Standard/Unranked/Unknown"
"452","Albert Einstein College Of Medicine","Top"
"453","Howard Hughes Medical Institute, University of California, San Diego","Top"
"454","The University of Florida","Proficient"
"455","North Carolina State University","Standard/Unranked/Unknown"
"456","Colorado State University","Standard/Unranked/Unknown"
"457","Howard Hughes Medical Institute, New York University","Top"
"458","Howard Hughes Medical Institute, University of Colorado Boulder","Proficient"
"459","Indiana University","Proficient"
"460","New York Genome Center","Top"
"461","Ohio State University","Proficient"
"462","State University of New York at Stony Brook","Standard/Unranked/Unknown"
"463","University of California, San Diego School of Medicine","Top"
"464","University of Colorado, Boulder","Proficient"
"465","University of Colorado Denver","Standard/Unranked/Unknown"
"466","University of Colorado-Boulder","Proficient"
"467","University of Massachusetts","Standard/Unranked/Unknown"
"468","University of Notre Dame","Proficient"
"469","University of Wisconsin-madison","Top"
"470","Wake Forest University","Standard/Unranked/Unknown"
"471","Humboldt University, Berlin","Proficient"
"472","Baylor University","Standard/Unranked/Unknown"
"473","University of California at Berkeley","Top"
"474","Boston College","Standard/Unranked/Unknown"
"475","Howard Hughes Medical Institute, Brandeis University","Standard/Unranked/Unknown"
"476","Drexel University","Standard/Unranked/Unknown"
"477","The George Washington University","Proficient"
"478","Florida Atlantic University","Standard/Unranked/Unknown"
"479","HARVARD UNIVERSITY","Top"
"480","Howard Hughes Medical Institute, Harvard University","Top"
"481","University of Miami","Standard/Unranked/Unknown"
"482","Howard Hughes Medical Institute, Albert Einstein College of Medicine","Top"
"483","Howard Hughes Medical Institute, Cornell University","Top"
"484","Howard Hughes Medical Institute, Duke University","Top"
"485","Howard Hughes Medical Institute, Duke University Medical Center","Top"
"486","Howard Hughes Medical Institute, Indiana University","Proficient"
"487","Howard Hughes Medical Institute, Massachusetts Institute of Technology","Top"
"488","Howard Hughes Medical Institute, Rockefeller University","Top"
"489","Howard Hughes Medical Institute, Texas A&M University","Proficient"
"490","Howard Hughes Medical Institute, University of California, Los Angeles","Top"
"491","Howard Hughes Medical Institute, University of Michigan","Top"
"492","Howard Hughes Medical Institute, University of Utah","Standard/Unranked/Unknown"
"493","Howard Hughes Medical Institute, University of Utah School of Medicine","Standard/Unranked/Unknown"
"494","Howard Hughes Medical Institute, University of Washington","Top"
"495","Howard Hughes Medical Institute, Washington University School of Medicine","Top"
"496","Howard Hughes Medical Institute, Yale University","Top"
"497","Indiana University Bloomington","Proficient"
"498","Oregon Health & Science University","Standard/Unranked/Unknown"
"499","Johns Hopkins Univ","Top"
"500","Marquette University","Standard/Unranked/Unknown"
"501","University of Illinois at Chicago","Standard/Unranked/Unknown"
"502","University of California at Davis","Proficient"
"503","Gwangju Institute of Science and Technology","Standard/Unranked/Unknown"
"504","University of California Irvine","Proficient"
"505","Wayne State University","Standard/Unranked/Unknown"
"506","Howard Hughes Medical Institute, Oregon Health and Science University","Standard/Unranked/Unknown"
"507","oregon state university","Standard/Unranked/Unknown"
"508","Rutgers The State University of New Jersey","Proficient"
"509","Saint Louis University","Standard/Unranked/Unknown"
"510","State University of New York Upstate Medical University","Standard/Unranked/Unknown"
"511","Syracuse University","Standard/Unranked/Unknown"
"512","Temple University","Standard/Unranked/Unknown"
"513","Queens University","Standard/Unranked/Unknown"
"514","The University of Alabama at Birmingham","Proficient"
"515","The University of Iowa","Standard/Unranked/Unknown"
"516","The University of Texas at Dallas","Standard/Unranked/Unknown"
"517","The University of Texas, Austin","Top"
"518","Tufts University","Proficient"
"519","Tulane University","Standard/Unranked/Unknown"
"520","UC santa cruz","Proficient"
"521","University of California, Los Angeles David Geffen School of Medicine","Top"
"522","University of California, Los Angeles Medical Center","Top"
"523","Univ. South Florida","Standard/Unranked/Unknown"
"524","University at Buffalo","Standard/Unranked/Unknown"
"525","University College Dublin","Standard/Unranked/Unknown"
"526","University of Alabama Birmingham","Proficient"
"527","UC Davis","Proficient"
"528","University of California Riverside","Standard/Unranked/Unknown"
"529","University of California San Diego","Top"
"530","University of California San Diego, University of California, San Diego","Top"
"531","University of California Santa Barbara","Proficient"
"532","University of California-Irvine","Proficient"
"533","University of Colorado Boulder; Howard Hughes Medical Institute","Proficient"
"534","University of Colorado, Denver","Standard/Unranked/Unknown"
"535","University of Connecticut","Standard/Unranked/Unknown"
"536","University of Dayton","Standard/Unranked/Unknown"
"537","University of Delaware","Standard/Unranked/Unknown"
"538","University of Hawai'i at Mānoa","Standard/Unranked/Unknown"
"539","University of Idaho","Standard/Unranked/Unknown"
"540","University of Illinois at Urbana Champaign","Proficient"
"541","University of Illinois, Urbana-Champaign","Proficient"
"542","University of Kentucky","Standard/Unranked/Unknown"
"543","University of Maryland College Park","Proficient"
"544","University of Maryland, College Park","Proficient"
"545","University of California at Riverside","Standard/Unranked/Unknown"
"546","University of Minnesota, Twin-Cities","Proficient"
"547","University of Nebraska Medical Center","Standard/Unranked/Unknown"
"548","University of Oklahoma","Standard/Unranked/Unknown"
"549","The University of new South Wales","Proficient"
"550","University of South Dakota","Standard/Unranked/Unknown"
"551","University of Texas at Austin & Howard Hughes Medical Institute","Top"
"552","University of Texas at Dallas","Standard/Unranked/Unknown"
"553","University of Texas Southwestern Medical Center at Dallas","Top"
"554","university of texas southwestern medical center","Top"
"555","University of Vermont","Standard/Unranked/Unknown"
"556","Howard Hughes Medical Institute, University of Illinois at Urbana-Champaign","Proficient"
"557","Worcester Polytechnic Institute","Standard/Unranked/Unknown"
"558","UT Southwestern Medical Center at Dallas","Top"
"559","University Washington","Top"
"560","Vollum Institute","Proficient"
"561","Washington University in St. Louis School of Medicine","Proficient"
"562","Washington University in St. Louis, School of Medicine","Proficient"
"563","West Virginia University","Standard/Unranked/Unknown"
"564","Yale University, School of Medicine","Top"
"565","University of Pécs","Standard/Unranked/Unknown"
"566","Federal University of Minas Gerais","Standard/Unranked/Unknown"
"567","University of Kansas","Standard/Unranked/Unknown"
"568","University of Debrecen","Standard/Unranked/Unknown"
"569","University of Liege","Standard/Unranked/Unknown"
"570","Univ. Geneva","Proficient"
"571","University of Warsaw","Standard/Unranked/Unknown"
"572","Central South University","Standard/Unranked/Unknown"
"573","Max-Planck-Institute for Molecular Genetics","Top"
"574","University of Utah,","Standard/Unranked/Unknown"
"575","Tehran University of Medical Sciences","Standard/Unranked/Unknown"
"576","University of Texas at Arlington","Standard/Unranked/Unknown"
"577","University of Lincoln","Standard/Unranked/Unknown"
"578","Oxford Brookes University","Standard/Unranked/Unknown"
"579","The Univ. of Texas at Austin","Top"
"580","the Chinese University of Hong Kong","Proficient"
"581","The University of Illinois at Chicago","Standard/Unranked/Unknown"
"582","University of Nebraska-Lincoln","Standard/Unranked/Unknown"
"583","Hosei University","Standard/Unranked/Unknown"
"584","Kyoto university","Proficient"
"585","Linköping university","Standard/Unranked/Unknown"
"586","Gunma University","Standard/Unranked/Unknown"
"587","University of Illinois Urbana Champaign","Proficient"
"588","Tsinghua university","Top"
"589","The University of Arizona","Proficient"
"590","Showa Univ.","Standard/Unranked/Unknown"
"591","Kansai University","Standard/Unranked/Unknown"
"592","University of Chile","Standard/Unranked/Unknown"
"593","The Johns Hopkins School of Medicine","Top"
"594","Lincoln University","Standard/Unranked/Unknown"
"595","nih","Top"
"596","Oregon Health and Science Univ","Standard/Unranked/Unknown"
"597","University of California-Davis","Proficient"
"598","University of PIttsburgh","Proficient"
"599","University of Salford","Standard/Unranked/Unknown"
"600","University of California, San diego","Top"
"601","Massey University","Standard/Unranked/Unknown"
"602","The Sun Yat-Sen University","Standard/Unranked/Unknown"
"603","Sun Yat-sen University","Standard/Unranked/Unknown"
"604","Bangor University","Standard/Unranked/Unknown"
"605","Xi'an Jiaotong University","Standard/Unranked/Unknown"
